map_seed,level,model,goal_reached,number_of_steps,collision,out_of_bound
1,1,Pure Neural,True,572,False,False
1,1,Neurosymbolic,True,892,False,False
1,1,AR_PPO,True,469,False,False
2,1,Pure Neural,True,530,False,False
2,1,Neurosymbolic,True,1641,False,False
2,1,AR_PPO,True,392,False,False
3,1,Pure Neural,False,5000,False,False
3,1,Neurosymbolic,True,1502,False,False
3,1,AR_PPO,False,5000,False,False
4,1,Pure Neural,False,5000,False,False
4,1,Neurosymbolic,True,1355,False,False
4,1,AR_PPO,False,5000,False,False
5,1,Pure Neural,False,5000,False,False
5,1,Neurosymbolic,True,1196,False,False
5,1,AR_PPO,True,707,False,False
6,1,Pure Neural,False,5000,False,False
6,1,Neurosymbolic,True,1118,False,False
6,1,AR_PPO,True,812,False,False
7,1,Pure Neural,True,1980,False,False
7,1,Neurosymbolic,True,786,False,False
7,1,AR_PPO,True,1341,False,False
8,1,Pure Neural,True,1082,False,False
8,1,Neurosymbolic,True,2038,False,False
8,1,AR_PPO,False,5000,False,False
9,1,Pure Neural,True,3358,False,False
9,1,Neurosymbolic,True,1912,False,False
9,1,AR_PPO,True,655,False,False
10,1,Pure Neural,True,5856,False,False
10,1,Neurosymbolic,True,1092,False,False
10,1,AR_PPO,False,5000,False,False
11,2,Pure Neural,True,375,False,False
11,2,Neurosymbolic,True,2793,False,False
11,2,AR_PPO,True,347,False,False
12,2,Pure Neural,False,5000,False,False
12,2,Neurosymbolic,True,1643,False,False
12,2,AR_PPO,True,795,False,False
13,2,Pure Neural,True,428,False,False
13,2,Neurosymbolic,True,2944,False,False
13,2,AR_PPO,True,392,False,False
14,2,Pure Neural,True,747,False,False
14,2,Neurosymbolic,True,1132,False,False
14,2,AR_PPO,True,808,False,False
15,2,Pure Neural,False,5000,False,False
15,2,Neurosymbolic,True,504,False,False
15,2,AR_PPO,True,402,False,False
16,2,Pure Neural,True,2657,False,False
16,2,Neurosymbolic,True,1330,False,False
16,2,AR_PPO,False,5000,False,False
17,2,Pure Neural,False,5000,False,False
17,2,Neurosymbolic,True,1907,False,False
17,2,AR_PPO,False,5000,False,False
18,2,Pure Neural,False,5000,False,False
18,2,Neurosymbolic,True,2245,False,False
18,2,AR_PPO,True,872,False,False
19,2,Pure Neural,False,5000,False,False
19,2,Neurosymbolic,True,2004,False,False
19,2,AR_PPO,False,5000,False,False
20,2,Pure Neural,False,5000,False,False
20,2,Neurosymbolic,True,2270,False,False
20,2,AR_PPO,True,406,False,False
21,3,Pure Neural,True,532,False,False
21,3,Neurosymbolic,True,1915,False,False
21,3,AR_PPO,True,319,False,False
22,3,Pure Neural,True,478,False,False
22,3,Neurosymbolic,True,953,False,False
22,3,AR_PPO,True,398,False,False
23,3,Pure Neural,True,1591,False,False
23,3,Neurosymbolic,True,1145,False,False
23,3,AR_PPO,True,1006,False,False
24,3,Pure Neural,False,5000,False,False
24,3,Neurosymbolic,True,3906,False,False
24,3,AR_PPO,False,5000,False,False
25,3,Pure Neural,True,1523,False,False
25,3,Neurosymbolic,True,2613,False,False
25,3,AR_PPO,True,586,False,False
26,3,Pure Neural,False,5000,False,False
26,3,Neurosymbolic,True,2375,False,False
26,3,AR_PPO,True,650,False,False
27,3,Pure Neural,False,5000,False,False
27,3,Neurosymbolic,True,991,False,False
27,3,AR_PPO,True,359,False,False
28,3,Pure Neural,False,5000,False,False
28,3,Neurosymbolic,True,1227,False,False
28,3,AR_PPO,True,416,False,False
29,3,Pure Neural,False,5000,False,False
29,3,Neurosymbolic,True,5716,False,False
29,3,AR_PPO,False,5000,False,False
30,3,Pure Neural,True,582,False,False
30,3,Neurosymbolic,True,2105,False,False
30,3,AR_PPO,False,5000,False,False
31,4,Pure Neural,True,11639,False,False
31,4,Neurosymbolic,True,3643,False,False
31,4,AR_PPO,False,5000,False,False
32,4,Pure Neural,True,18045,False,False
32,4,Neurosymbolic,True,3181,False,False
32,4,AR_PPO,True,5433,False,False
33,4,Pure Neural,False,5000,False,False
33,4,Neurosymbolic,True,916,False,False
33,4,AR_PPO,False,5000,False,False
34,4,Pure Neural,False,5000,False,False
34,4,Neurosymbolic,True,4110,False,False
34,4,AR_PPO,False,5000,False,False
35,4,Pure Neural,True,1058,False,False
35,4,Neurosymbolic,True,3176,False,False
35,4,AR_PPO,True,1854,False,False
36,4,Pure Neural,False,5000,False,False
36,4,Neurosymbolic,True,1620,False,False
36,4,AR_PPO,True,9484,False,False
37,4,Pure Neural,False,5000,False,False
37,4,Neurosymbolic,True,1684,False,False
37,4,AR_PPO,True,874,False,False
38,4,Pure Neural,False,5000,False,False
38,4,Neurosymbolic,True,1224,False,False
38,4,AR_PPO,False,5000,False,False
39,4,Pure Neural,False,5000,False,False
39,4,Neurosymbolic,True,1587,False,False
39,4,AR_PPO,False,5000,False,False
40,4,Pure Neural,True,367,False,False
40,4,Neurosymbolic,True,426,False,False
40,4,AR_PPO,True,486,False,False
41,5,Pure Neural,True,704,False,False
41,5,Neurosymbolic,True,2216,False,False
41,5,AR_PPO,False,5000,False,False
42,5,Pure Neural,False,5000,False,False
42,5,Neurosymbolic,True,1842,False,False
42,5,AR_PPO,False,5000,False,False
43,5,Pure Neural,True,1325,False,False
43,5,Neurosymbolic,True,3672,False,False
43,5,AR_PPO,False,5000,False,False
44,5,Pure Neural,True,1976,False,False
44,5,Neurosymbolic,True,818,False,False
44,5,AR_PPO,True,7255,False,False
45,5,Pure Neural,False,5000,False,False
45,5,Neurosymbolic,True,865,False,False
45,5,AR_PPO,True,1291,False,False
46,5,Pure Neural,True,12380,False,False
46,5,Neurosymbolic,True,2294,False,False
46,5,AR_PPO,False,5000,False,False
47,5,Pure Neural,True,659,False,False
47,5,Neurosymbolic,True,1919,False,False
47,5,AR_PPO,False,5000,False,False
48,5,Pure Neural,False,5000,False,False
48,5,Neurosymbolic,True,3042,False,False
48,5,AR_PPO,False,5000,False,False
49,5,Pure Neural,True,3772,False,False
49,5,Neurosymbolic,True,2189,False,False
49,5,AR_PPO,True,2375,False,False
50,5,Pure Neural,False,5000,False,False
50,5,Neurosymbolic,True,1104,False,False
50,5,AR_PPO,True,1716,False,False
51,6,Pure Neural,False,5000,False,False
51,6,Neurosymbolic,True,7323,False,False
51,6,AR_PPO,False,5000,False,False
52,6,Pure Neural,True,1248,False,False
52,6,Neurosymbolic,True,1900,False,False
52,6,AR_PPO,False,5000,False,False
53,6,Pure Neural,False,5000,False,False
53,6,Neurosymbolic,True,2654,False,False
53,6,AR_PPO,True,861,False,False
54,6,Pure Neural,True,9384,False,False
54,6,Neurosymbolic,True,2062,False,False
54,6,AR_PPO,False,5000,False,False
55,6,Pure Neural,True,603,False,False
55,6,Neurosymbolic,True,2675,False,False
55,6,AR_PPO,True,508,False,False
56,6,Pure Neural,True,2245,False,False
56,6,Neurosymbolic,True,1491,False,False
56,6,AR_PPO,False,5000,False,False
57,6,Pure Neural,True,743,False,False
57,6,Neurosymbolic,True,1131,False,False
57,6,AR_PPO,False,5000,False,False
58,6,Pure Neural,True,725,False,False
58,6,Neurosymbolic,True,1020,False,False
58,6,AR_PPO,True,19901,False,False
59,6,Pure Neural,False,5000,False,False
59,6,Neurosymbolic,True,849,False,False
59,6,AR_PPO,True,19752,False,False
60,6,Pure Neural,True,805,False,False
60,6,Neurosymbolic,True,1716,False,False
60,6,AR_PPO,True,509,False,False
61,7,Pure Neural,True,1211,False,False
61,7,Neurosymbolic,True,2241,False,False
61,7,AR_PPO,False,5000,False,False
62,7,Pure Neural,True,1391,False,False
62,7,Neurosymbolic,True,1148,False,False
62,7,AR_PPO,False,5000,False,False
63,7,Pure Neural,False,5000,False,False
63,7,Neurosymbolic,True,1179,False,False
63,7,AR_PPO,False,5000,False,False
64,7,Pure Neural,True,659,False,False
